,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
918,Sansha Sanyou,"Comédia, Escolar, Vida Cotidiana",10/04/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/813_thumb2.jpg,https://punchsubs.net/principal#listar/813/episodios/stream/1
919,Sansha Sanyou OVAs,"Comédia, Colegial, Slice of Life",07/04/2017,2,3,Lançando,https://punchsubs.net/imagens/projetos/animes/2092_thumb2.jpg,https://punchsubs.net/principal#listar/2092/ovas/stream/1
920,Sanzoku no Musume Ronja,Novel,16/10/2014,25,26,Completo,https://punchsubs.net/imagens/projetos/animes/555_thumb2.jpg,https://punchsubs.net/principal#listar/555/episodios/stream/1
921,Saraiya Goyou,"Drama, Suspense, Épico",27/11/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2376_thumb2.jpg,https://punchsubs.net/principal#listar/2376/episodios/stream/1
922,Saredo Tsumibito wa Ryuu to Odoru,"Ação, Drama, Fantasia, Ficção Científica",05/04/2018,8,12,Lançando,https://punchsubs.net/imagens/projetos/animes/2543_thumb2.jpg,https://punchsubs.net/principal#listar/2543/episodios/stream/1
923,Sasami-san@Ganbaranai,Gênero:,01/04/2013,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/273_thumb2.jpg,https://punchsubs.net/principal#listar/273/episodios/stream/1
924,Scared Rider Xechs,"Aventura, Harém, Romance, Ficção",05/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/847_thumb2.jpg,https://punchsubs.net/principal#listar/847/episodios/stream/1
925,Schoolgirl Strikers: Animation Channel,"Ação, Escolar",22/12/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/2013_thumb2.jpg,https://punchsubs.net/principal#listar/2013/episodios/stream/1
926,Schwarzesmarken,"Ação, Drama, Mecha, Militar, Ficção",10/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/763_thumb2.jpg,https://punchsubs.net/principal#listar/763/episodios/stream/1
927,Seikaisuru Kado,Ficção Científica,06/04/2017,13,12,Completo,https://punchsubs.net/imagens/projetos/animes/2085_thumb2.jpg,https://punchsubs.net/principal#listar/2085/episodios/stream/1
928,Seiken Tsukai no World Break,Gênero:,11/01/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/588_thumb2.jpg,https://punchsubs.net/principal#listar/588/episodios/stream/1
